Hora,Nombre completo del usuario,Usuario afectado,Contexto del evento,Nombre evento,Descripción,Dirección IP
"3/04/23, 09:37:32",Butterfree,-,Curso: Seminario de  Lenguajes - Opción Python (2023),Informe de registro visualizado,The user with id 12 viewed the log report for the course with id 1159.,186.137.41.137
"3/04/23, 09:36:37",Butterfree,-,Curso: Seminario de  Lenguajes - Opción Python (2023),Informe de actividad visto,The user with id 12 viewed the outline activity report for the course with id 1159.,186.137.41.137
"3/04/23, 09:35:43",Butterfree,-,Curso: Seminario de  Lenguajes - Opción Python (2023),Informe de registro visualizado,The user with id 12 viewed the log report for the course with id 1159.,186.137.41.137
"3/04/23, 09:34:56",Butterfree,-,Curso: Seminario de  Lenguajes - Opción Python (2023),Informe de estadísticas visto,The user with id 12 viewed the statistics report for the course with id 1159.,186.137.41.137
"3/04/23, 09:34:41",Butterfree,-,Curso: Seminario de  Lenguajes - Opción Python (2023),Informe de estadísticas visto,The user with id 12 viewed the statistics report for the course with id 1159.,186.137.41.137
"3/04/23, 09:34:14",Butterfree,-,Curso: Seminario de  Lenguajes - Opción Python (2023),Curso visto,The user with id 12 viewed the course with id 1159.,186.137.41.137
"3/04/23, 09:22:22",Hypno,-,Tarea: Entrega 1,Visualización de las Calificaciones,The user with id 97 viewed the grading table for the assignment with course module id 37038.,190.19.24.34
"3/04/23, 09:22:21",Hypno,-,Tarea: Entrega 1,Módulo de curso visto,The user with id 97 viewed the assign activity with course module id 37038.,190.19.24.34
"3/04/23, 09:22:21",Hypno,-,Tarea: Entrega 1,Módulo de curso visto,The user with id 97 viewed the assign activity with course module id 37038.,190.19.24.34
"3/04/23, 09:17:14",Hypno,-,Tarea: Entrega 1,Visualización de las Calificaciones,The user with id 97 viewed the grading table for the assignment with course module id 37038.,190.19.24.34
"3/04/23, 09:17:14",Hypno,-,Tarea: Entrega 1,Módulo de curso visto,The user with id 97 viewed the assign activity with course module id 37038.,190.19.24.34
"3/04/23, 09:17:14",Hypno,-,Tarea: Entrega 1,Módulo de curso visto,The user with id 97 viewed the assign activity with course module id 37038.,190.19.24.34
"3/04/23, 09:16:15",Machoke,-,Curso: Seminario de  Lenguajes - Opción Python (2023),Curso visto,The user with id 67 viewed the course with id 1159.,201231167188
"3/04/23, 09:13:35",Hypno,-,Tarea: Entrega 1,Visualización de las Calificaciones,The user with id 97 viewed the grading table for the assignment with course module id 37038.,190.19.24.34
"3/04/23, 09:13:35",Hypno,-,Tarea: Entrega 1,Módulo de curso visto,The user with id 97 viewed the assign activity with course module id 37038.,190.19.24.34
"3/04/23, 09:13:35",Hypno,-,Tarea: Entrega 1,Módulo de curso visto,The user with id 97 viewed the assign activity with course module id 37038.,190.19.24.34
"3/04/23, 09:13:32",Hypno,-,Tarea: Entrega 1,Visualización de las Calificaciones,The user with id 97 viewed the grading table for the assignment with course module id 37038.,190.19.24.34
"3/04/23, 09:13:31",Hypno,-,Tarea: Entrega 1,Módulo de curso visto,The user with id 97 viewed the assign activity with course module id 37038.,190.19.24.34
"3/04/23, 09:13:31",Hypno,-,Tarea: Entrega 1,Módulo de curso visto,The user with id 97 viewed the assign activity with course module id 37038.,190.19.24.34
"3/04/23, 09:13:21",Hypno,-,Tarea: Entrega 1,Visualización de las Calificaciones,The user with id 97 viewed the grading table for the assignment with course module id 37038.,190.19.24.34
"3/04/23, 09:13:20",Hypno,-,Tarea: Entrega 1,Módulo de curso visto,The user with id 97 viewed the assign activity with course module id 37038.,190.19.24.34
"3/04/23, 09:13:20",Hypno,-,Tarea: Entrega 1,Módulo de curso visto,The user with id 97 viewed the assign activity with course module id 37038.,190.19.24.34
"3/04/23, 09:13:17",Hypno,-,Tarea: Entrega 1,Visualización de las Calificaciones,The user with id 97 viewed the grading table for the assignment with course module id 37038.,190.19.24.34
"3/04/23, 09:13:17",Hypno,-,Tarea: Entrega 1,Módulo de curso visto,The user with id 97 viewed the assign activity with course module id 37038.,190.19.24.34
"3/04/23, 09:13:17",Hypno,-,Tarea: Entrega 1,Módulo de curso visto,The user with id 97 viewed the assign activity with course module id 37038.,190.19.24.34
"3/04/23, 09:04:08",Hypno,-,Tarea: Entrega 1,Visualización de las Calificaciones,The user with id 97 viewed the grading table for the assignment with course module id 37038.,190.19.24.34
"3/04/23, 09:04:08",Hypno,-,Tarea: Entrega 1,Módulo de curso visto,The user with id 97 viewed the assign activity with course module id 37038.,190.19.24.34
"3/04/23, 09:04:08",Hypno,Pikachu,Tarea: Entrega 1,El estado del flujo de trabajo ha sido actualizado.,The user with id 97 has set the workflow state of the user with id 25 to the state readyforrelease for the assignment with course module id 37038.,190.19.24.34
"3/04/23, 09:04:08",Hypno,Pikachu,Tarea: Entrega 1,Se ha calificado el envío.,The user with id 97 has graded the submission 59768 for the user with id 25 for the assignment with course module id 37038.,190.19.24.34
"3/04/23, 09:04:08",Hypno,Raticate,Tarea: Entrega 1,El estado del flujo de trabajo ha sido actualizado.,The user with id 97 has set the workflow state of the user with id 20 to the state readyforrelease for the assignment with course module id 37038.,190.19.24.34
"3/04/23, 09:04:08",Hypno,Raticate,Tarea: Entrega 1,Se ha calificado el envío.,The user with id 97 has graded the submission 59750 for the user with id 20 for the assignment with course module id 37038.,190.19.24.34
"3/04/23, 09:04:08",Hypno,Mr. Mime,Tarea: Entrega 1,El estado del flujo de trabajo ha sido actualizado.,The user with id 97 has set the workflow state of the user with id 122 to the state readyforrelease for the assignment with course module id 37038.,190.19.24.34
"3/04/23, 09:04:08",Hypno,Mr. Mime,Tarea: Entrega 1,Se ha calificado el envío.,The user with id 97 has graded the submission 59772 for the user with id 122 for the assignment with course module id 37038.,190.19.24.34
"3/04/23, 09:04:08",Hypno,Kabuto,Tarea: Entrega 1,El estado del flujo de trabajo ha sido actualizado.,The user with id 97 has set the workflow state of the user with id 140 to the state readyforrelease for the assignment with course module id 37038.,190.19.24.34
"3/04/23, 09:04:08",Hypno,Kabuto,Tarea: Entrega 1,Se ha calificado el envío.,The user with id 97 has graded the submission 59792 for the user with id 140 for the assignment with course module id 37038.,190.19.24.34
"3/04/23, 09:04:08",Hypno,-,Tarea: Entrega 1,Módulo de curso visto,The user with id 97 viewed the assign activity with course module id 37038.,190.19.24.34
"3/04/23, 09:04:02",Hypno,-,Tarea: Entrega 1,Estado del Flujograma de configuración masiva vista.,The user with id 97 viewed the batch set workflow for the assignment with course module id 37038.,190.19.24.34
"3/04/23, 09:04:02",Hypno,-,Tarea: Entrega 1,Módulo de curso visto,The user with id 97 viewed the assign activity with course module id 37038.,190.19.24.34
"3/04/23, 09:03:16",Hypno,Kabuto,Tarea: Entrega 1,Formulario de calificaciones visto,The user with id 97 viewed the grading form for the user with id 140 for the assignment with course module id 37038.,190.19.24.34
"3/04/23, 09:03:15",Hypno,-,Tarea: Entrega 1,Visualización de las Calificaciones,The user with id 97 viewed the grading table for the assignment with course module id 37038.,190.19.24.34
"3/04/23, 09:03:15",Hypno,-,Tarea: Entrega 1,Módulo de curso visto,The user with id 97 viewed the assign activity with course module id 37038.,190.19.24.34
"3/04/23, 09:01:57",Hypno,-,Tarea: Entrega 1,Visualización de las Calificaciones,The user with id 97 viewed the grading table for the assignment with course module id 37038.,190.19.24.34
"3/04/23, 09:01:57",Hypno,-,Tarea: Entrega 1,Módulo de curso visto,The user with id 97 viewed the assign activity with course module id 37038.,190.19.24.34
"3/04/23, 09:01:57",Hypno,-,Tarea: Entrega 1,Módulo de curso visto,The user with id 97 viewed the assign activity with course module id 37038.,190.19.24.34
"3/04/23, 09:01:43",Hypno,-,Tarea: Entrega 1,Visualización de las Calificaciones,The user with id 97 viewed the grading table for the assignment with course module id 37038.,190.19.24.34
"3/04/23, 09:01:42",Hypno,-,Tarea: Entrega 1,Módulo de curso visto,The user with id 97 viewed the assign activity with course module id 37038.,190.19.24.34
"3/04/23, 09:01:42",Hypno,-,Tarea: Entrega 1,Módulo de curso visto,The user with id 97 viewed the assign activity with course module id 37038.,190.19.24.34
"3/04/23, 09:01:34",Hypno,-,Tarea: Entrega 1,Visualización de las Calificaciones,The user with id 97 viewed the grading table for the assignment with course module id 37038.,190.19.24.34
"3/04/23, 09:01:34",Hypno,-,Tarea: Entrega 1,Módulo de curso visto,The user with id 97 viewed the assign activity with course module id 37038.,190.19.24.34
"3/04/23, 09:01:31",Hypno,-,Tarea: Entrega 1,Se ha visualizado el estado de la entrega.,The user with id 97 has viewed the submission status page for the assignment with course module id 37038.,190.19.24.34
"3/04/23, 09:01:31",Hypno,-,Tarea: Entrega 1,Módulo de curso visto,The user with id 97 viewed the assign activity with course module id 37038.,190.19.24.34
"3/04/23, 09:01:24",Hypno,-,Curso: Seminario de  Lenguajes - Opción Python (2023),Curso visto,The user with id 97 viewed the course with id 1159.,190.19.24.34
"3/04/23, 08:24:16",Geodude,-,Tarea: Entrega 1,Se ha visualizado el estado de la entrega.,The user with id 74 has viewed the submission status page for the assignment with course module id 37038.,201.220.23.60
"3/04/23, 08:24:16",Geodude,-,Tarea: Entrega 1,Módulo de curso visto,The user with id 74 viewed the assign activity with course module id 37038.,201.220.23.60
"3/04/23, 08:24:03",Geodude,-,Curso: Seminario de  Lenguajes - Opción Python (2023),Curso visto,The user with id 74 viewed the course with id 1159.,201.220.23.60
"3/04/23, 08:23:23",Geodude,-,Tarea: Entrega 2,Se ha visualizado el estado de la entrega.,The user with id 74 has viewed the submission status page for the assignment with course module id 37039.,201.220.23.60
"3/04/23, 08:23:23",Geodude,-,Tarea: Entrega 2,Módulo de curso visto,The user with id 74 viewed the assign activity with course module id 37039.,201.220.23.60
"3/04/23, 08:22:53",Geodude,-,Curso: Seminario de  Lenguajes - Opción Python (2023),Curso visto,The user with id 74 viewed the course with id 1159.,201.220.23.60
"3/04/23, 08:15:22",Magneton,-,Curso: Seminario de  Lenguajes - Opción Python (2023),Curso visto,The user with id 82 viewed the course with id 1159.,181.231.195.10
"3/04/23, 04:50:00",Oddish,-,Tarea: Entrega 2,Se ha visualizado el estado de la entrega.,The user with id 43 has viewed the submission status page for the assignment with course module id 37039.,186.22.19.189
"3/04/23, 04:49:59",Oddish,-,Tarea: Entrega 2,Módulo de curso visto,The user with id 43 viewed the assign activity with course module id 37039.,186.22.19.189
"3/04/23, 04:49:44",Oddish,-,Curso: Seminario de  Lenguajes - Opción Python (2023),Curso visto,The user with id 43 viewed the course with id 1159.,186.22.19.189
"3/04/23, 02:53:17",Oddish,-,Curso: Seminario de  Lenguajes - Opción Python (2023),Curso visto,The user with id 43 viewed the course with id 1159.,186.22.19.189
"3/04/23, 02:51:49",Oddish,-,Curso: Seminario de  Lenguajes - Opción Python (2023),Curso visto,The user with id 43 viewed the course with id 1159.,186.22.19.189
"3/04/23, 02:20:11",Staryu,-,BigBlueButton: Sala de VC de explicaciones de práctica,Grabación vista,The user with id 120 has viewed a recording with id 1759 from the course id 1159.,191.83.221.168
"3/04/23, 02:20:08",Staryu,-,BigBlueButton: Sala de VC de explicaciones de práctica,Módulo de curso visto,The user with id 120 viewed the bigbluebuttonbn activity with course module id 36883.,191.83.221.168
"3/04/23, 02:19:50",Staryu,-,Curso: Seminario de  Lenguajes - Opción Python (2023),Curso visto,The user with id 120 viewed the course with id 1159.,191.83.221.168
"3/04/23, 02:19:13",Staryu,-,Carpeta: Material de las explicaciones prácticas,Módulo de curso visto,The user with id 120 viewed the folder activity with course module id 37633.,191.83.221.168
"3/04/23, 02:19:06",Staryu,-,Curso: Seminario de  Lenguajes - Opción Python (2023),Curso visto,The user with id 120 viewed the course with id 1159.,191.83.221.168
"3/04/23, 02:14:46",Staryu,-,Página: Material de las clases,Módulo de curso visto,The user with id 120 viewed the page activity with course module id 37545.,191.83.221.168
